Timestamp,Name,Feedback
2025-07-15 10:05,Ayush,"The event was very informative, but the mic had issues."
2025-07-15 10:10,Anjali,"Loved the guest speaker session! Please conduct more such events."
2025-07-15 10:15,Ravi,"Food arrangement was poor. Long queues everywhere."
2025-07-15 10:18,Meena,"Very engaging and well-organized. The quiz was fun!"
2025-07-15 10:21,Harish,"The event started late. Timing needs improvement."
2025-07-15 10:25,Neha,"Enjoyed the overall vibe, but some games were repetitive."
2025-07-15 10:30,Sameer,"Good initiative by the student council. The dance show was a highlight!"
2025-07-15 10:35,Priya,"More dustbins should have been placed. Venue was not clean."
2025-07-15 10:40,Arjun,"Fantastic event. Had a great time networking."
2025-07-15 10:45,Divya,"Too many speeches, should balance with more interactive segments."
